2025-05-14 00:30:11,832 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 1, Voting Method: soft, Control Ratio: 10% Accuracy: 77.51%, Execution time: 35.0637309551239
2025-05-14 00:30:11,832 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 1, Voting Method: soft, Control Ratio: 20% Accuracy: 78.10%, Execution time: 53.63242220878601
2025-05-14 00:30:11,832 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 1, Voting Method: soft, Control Ratio: 30% Accuracy: 80.72%, Execution time: 62.08150553703308
2025-05-14 00:30:11,832 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 1, Voting Method: soft, Control Ratio: 40% Accuracy: 82.03%, Execution time: 67.66509008407593
2025-05-14 00:30:11,832 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 1, Voting Method: soft, Control Ratio: 60% Accuracy: 82.88%, Execution time: 77.96679615974426
2025-05-14 00:30:11,832 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 1, Voting Method: soft, Control Ratio: 50% Accuracy: 82.79%, Execution time: 78.49945545196533
2025-05-14 00:30:11,832 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 1, Voting Method: soft, Control Ratio: 70% Accuracy: 82.25%, Execution time: 78.34584021568298
2025-05-14 00:30:11,832 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 1, Voting Method: soft, Control Ratio: 90% Accuracy: 80.43%, Execution time: 79.19875955581665
2025-05-14 00:30:11,832 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 1, Voting Method: soft, Control Ratio: 80% Accuracy: 78.80%, Execution time: 80.2733519077301
2025-05-14 00:30:11,837 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 1, Voting Method: soft, Control Ratio: 10% Accuracy: 77.51%, Execution time: 62.19688391685486
2025-05-14 00:30:11,837 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 1, Voting Method: soft, Control Ratio: 20% Accuracy: 78.10%, Execution time: 108.80804562568665
2025-05-14 00:30:11,837 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 1, Voting Method: soft, Control Ratio: 30% Accuracy: 80.72%, Execution time: 140.06481623649597
2025-05-14 00:30:11,837 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 1, Voting Method: soft, Control Ratio: 40% Accuracy: 82.03%, Execution time: 154.6254050731659
2025-05-14 00:30:11,837 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 1, Voting Method: soft, Control Ratio: 90% Accuracy: 80.43%, Execution time: 157.30236268043518
2025-05-14 00:30:11,837 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 1, Voting Method: soft, Control Ratio: 80% Accuracy: 78.80%, Execution time: 161.4743185043335
2025-05-14 00:30:11,838 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 1, Voting Method: soft, Control Ratio: 50% Accuracy: 82.79%, Execution time: 165.0328710079193
2025-05-14 00:30:11,838 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 1, Voting Method: soft, Control Ratio: 60% Accuracy: 82.88%, Execution time: 165.84576225280762
2025-05-14 00:30:11,838 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 1, Voting Method: soft, Control Ratio: 70% Accuracy: 82.25%, Execution time: 165.99812507629395
2025-05-14 00:34:15,037 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 1, Voting Method: hard, Control Ratio: 10% Accuracy: 77.51%, Execution time: 29.637101411819458
2025-05-14 00:34:15,037 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 1, Voting Method: hard, Control Ratio: 20% Accuracy: 78.10%, Execution time: 48.26728129386902
2025-05-14 00:34:15,037 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 1, Voting Method: hard, Control Ratio: 30% Accuracy: 80.72%, Execution time: 61.40387988090515
2025-05-14 00:34:15,037 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 1, Voting Method: hard, Control Ratio: 40% Accuracy: 82.03%, Execution time: 64.02371954917908
2025-05-14 00:34:15,037 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 1, Voting Method: hard, Control Ratio: 50% Accuracy: 82.79%, Execution time: 72.59053468704224
2025-05-14 00:34:15,037 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 1, Voting Method: hard, Control Ratio: 60% Accuracy: 82.88%, Execution time: 74.94654059410095
2025-05-14 00:34:15,037 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 1, Voting Method: hard, Control Ratio: 80% Accuracy: 78.80%, Execution time: 76.92253160476685
2025-05-14 00:34:15,037 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 1, Voting Method: hard, Control Ratio: 70% Accuracy: 82.25%, Execution time: 77.03168296813965
2025-05-14 00:34:15,037 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 1, Voting Method: hard, Control Ratio: 90% Accuracy: 80.43%, Execution time: 77.06961107254028
2025-05-14 00:34:15,042 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 1, Voting Method: hard, Control Ratio: 10% Accuracy: 77.51%, Execution time: 60.75530672073364
2025-05-14 00:34:15,042 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 1, Voting Method: hard, Control Ratio: 20% Accuracy: 78.10%, Execution time: 104.87492084503174
2025-05-14 00:34:15,042 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 1, Voting Method: hard, Control Ratio: 30% Accuracy: 80.72%, Execution time: 137.39679169654846
2025-05-14 00:34:15,042 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 1, Voting Method: hard, Control Ratio: 90% Accuracy: 80.43%, Execution time: 152.19391083717346
2025-05-14 00:34:15,042 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 1, Voting Method: hard, Control Ratio: 40% Accuracy: 82.03%, Execution time: 154.56457018852234
2025-05-14 00:34:15,042 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 1, Voting Method: hard, Control Ratio: 80% Accuracy: 78.80%, Execution time: 158.6628861427307
2025-05-14 00:34:15,042 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 1, Voting Method: hard, Control Ratio: 70% Accuracy: 82.25%, Execution time: 163.3490834236145
2025-05-14 00:34:15,042 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 1, Voting Method: hard, Control Ratio: 50% Accuracy: 82.79%, Execution time: 164.58922457695007
2025-05-14 00:34:15,042 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 1, Voting Method: hard, Control Ratio: 60% Accuracy: 82.88%, Execution time: 165.29487657546997
2025-05-14 00:38:47,821 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 3, Voting Method: soft, Control Ratio: 10% Accuracy: 79.93%, Execution time: 45.1776077747345
2025-05-14 00:38:47,821 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 3, Voting Method: soft, Control Ratio: 20% Accuracy: 82.72%, Execution time: 63.936477184295654
2025-05-14 00:38:47,821 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 3, Voting Method: soft, Control Ratio: 30% Accuracy: 83.51%, Execution time: 76.13241362571716
2025-05-14 00:38:47,821 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 3, Voting Method: soft, Control Ratio: 40% Accuracy: 83.30%, Execution time: 83.28235745429993
